subject,Username,Condition,1_code,1_notes,2_code,exclude?,2_notes,3_code,exclude?,3_notes,total score
195,77b0cf71,DMT-with-tutorial,,,2,Y,bias for red in phase 2,2,Y,bias for red in phase 2,4
196,97583168,DMT-with-tutorial,2,Large bias towards blue in phase 2,2,Y,bias for green in phase 2,2,Y,bias for green in phase 2,6
197,bbbbd198,DMT-with-tutorial,2,Large bias towards red in phase 2,1,N,few impossible RTs,1,N,some low RTs,4
198,934a9285,DMT-with-tutorial,1,Bias towards green in phase 2,2,Y,bias for red in phase 2,2,Y,consecutive red in phase 2,5
199,4a541d59,DMT-with-tutorial,2,Large bias against red in phase 2,0,N,,0,N,-,2
200,bcaec00f,DMT-with-tutorial,2,Large bias towards red in phase 2,0,N,,0,N,-,2
201,623f1f05,DMT-with-tutorial,,,0,N,,0,N,-,0
202,d190166d,DMT-with-tutorial,,,0,N,,0,N,-,0
203,bd08357e,DMT-with-tutorial,1,Lots of NR in Phase 1,0,N,,0,N,-,1
204,170a9c17,DMT-with-tutorial,,,0,N,,0,N,-,0
205,4418846b,DMT-with-tutorial,,,0,N,,0,N,-,0
206,6d06ae27,DMT-with-tutorial,,,0,N,,0,N,-,0
207,0de3ad0f,DMT-with-tutorial,1,Lots of NR in Phase 1,0,N,,0,N,-,1
208,2d330444,DMT-with-tutorial,,,2,Y,lot of NRs & impossible RTs,2,Y,many low RTs and NRs,4
209,0eaa254b,DMT-with-tutorial,,,2,Y,impossible RTs,2,Y,many low RTs,4
210,55dbf7c4,DMT-with-tutorial,1,Lots of NR in Phase 1,2,Y,large bias for red in phase 2,2,Y,consecutive red in phase 2,5
211,3def9dfd,DMT-with-tutorial,1,Very low RTs,0,N,,0,N,-,1
212,b1900112,DMT-with-tutorial,2,Large bias against blue in phase 2,2,Y,impossible RTs,2,Y,many low RTs,6
213,53adc684,DMT-with-tutorial,,,0,N,,0,N,-,0
214,29573411,DMT-with-tutorial,1,Very low RTs,0,N,,0,N,-,1
215,d429c21a,DMT-with-tutorial,,,0,N,,0,N,-,0
216,c9f9b4ff,DMT-with-tutorial,,,0,N,,1,N,many NRs,1
217,70224bf5,DMT-with-tutorial,2,Large bias towards green in phase 1,0,N,,0,N,-,2
218,c295f463,DMT-with-tutorial,2,Lots of NR in Phase 1,0,N,,0,N,-,2
219,65057767,DMT-with-tutorial,,,1,N,slight bias for blue,2,Y,bias for blue,3
220,37a42259,DMT-with-tutorial,,,0,N,,0,N,-,0
221,6523511a,DMT-with-tutorial,2,Large bias against red in phase 2,0,N,,0,N,-,2
222,31448c0c,DMT-with-tutorial,,,0,N,,0,N,-,0
223,21baa9c1,DMT-with-tutorial,,,0,N,,0,N,-,0
224,b6fca588,DMT-with-tutorial,,,2,Y,impossible RTs,2,Y,many low RTs,4
225,9360eb45,DMT-with-tutorial,,,1,N,slight bias for blue in phase 2,1,N,bias for blue in phase 2,2
226,6934fe11,DMT-with-tutorial,2,Large bias towards blue in phase 1,2,Y,impossible RTs & a few NRs,1,N,low RTs and high level of NRs,5
227,82551300,DMT-with-tutorial,,,2,Y,impossible RTs,2,Y,many low RTs,4
228,53bf01c5,DMT-with-tutorial,2,Lots of NR in Phase 1,2,Y,large bias for red in phase 2,2,Y,bias for red in phase 2,6
229,494ff50a,DMT-with-tutorial,2,Very low RTs,0,N,,0,N,-,2
230,8a8ab53a,DMT-with-tutorial,2,Large bias towards red in phase 2,2,Y,large bias for blue in phase 1,2,Y,bias for blue in phase 1,6
231,713efa1a,DMT-with-tutorial,,,0,N,,0,N,-,0
232,98c2bfbd,DMT-with-tutorial,2,Large bias towards blue in phase 1,0,N,,0,N,-,2
233,3337426,DMT-with-tutorial,2,Lots of NR in Phase 1 and 2,0,N,,0,N,-,2
234,543ecc72,DMT-with-tutorial,,,0,N,,0,N,-,0
235,2e9b275f,DMT-with-tutorial,1,Very low RTs,0,N,,0,N,-,1
236,fb5aa372,DMT-with-tutorial,,,0,N,,0,N,-,0
237,0aab0a9b,DMT-with-tutorial,1,Large bias against red in phase 2,0,N,,0,N,-,1
238,bf728c26,DMT-with-tutorial,,,0,N,,0,N,-,0
239,ccbc9e30,DMT-with-tutorial,,,0,N,,0,N,-,0
240,a88d20c5,DMT-with-tutorial,,,0,N,,0,N,-,0
241,5fec616a,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
242,0ce55338,DMT-with-tutorial,,,0,N,,0,N,-,0
243,604eeaa6,DMT-with-tutorial,,,0,N,,0,N,-,0
244,583ee0be,DMT-with-tutorial,,,0,N,,0,N,-,0
245,afa4793c,DMT-with-tutorial,2,Large bias towards blue in phase 1,0,N,,0,N,-,2
246,0dc1e6d9,DMT-with-tutorial,2,Bias towards green in phase 2,0,N,,1,N,low amt. of blue in phase 2,3
247,78949889,DMT-with-tutorial,,,0,N,,0,N,-,0
248,d0f41055,DMT-with-tutorial,2,Large bias against blue in phase 2,0,N,,0,N,-,2
249,f49537e7,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
250,ecdbad92,DMT-with-tutorial,,,0,N,,0,N,-,0
251,7d1da5ce,DMT-with-tutorial,1,Lots of NR in Phase 1 and 2,0,N,,0,N,-,1
252,dd40920a,DMT-with-tutorial,,,2,Y,large bias for red ,2,Y,bias for red in phase 2,4
253,77ecd66b,DMT-with-tutorial,,,0,N,,0,N,-,0
254,4b5f1363,DMT-with-tutorial,2,Large bias towards red in phase 1 and 2,1,N,slight bias for red in phase 2,2,Y,bias for red in phase 2,5
255,cee3a8f1,DMT-with-tutorial,,,0,N,,0,N,-,0
256,b01b7430,DMT-with-tutorial,2,Large bias against green in phase 2,1,N,slight bias for red in phase 1,1,N,bias for red,4
257,a22d8d0b,DMT-with-tutorial,,,0,N,,0,N,-,0
258,e2175e4b,DMT-with-tutorial,1,Bias against green in Phase 2,0,N,,0,N,-,1
259,508ef1e8,DMT-with-tutorial,2,Bias against blue in phase 2,0,N,,0,N,-,2
260,d717ee02,DMT-with-tutorial,,,0,N,,0,N,-,0
261,295d02d2,DMT-with-tutorial,1,Lots of NR in Phase 1 and 2,0,N,,0,N,-,1
262,e73be0c4,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
263,b1fc9380,DMT-with-tutorial,,,2,Y,large bias for red and green in phase 2,2,Y,only red and green in phase 2,4
264,c970e131,DMT-with-tutorial,1,Bias against green in Phase 2,0,N,,1,N,low amt. of blue in phase 2,2
265,983f4ec2,DMT-with-tutorial,2,Large bias against blue in phase 2,0,N,,0,N,-,2
266,9a3a1a78,DMT-with-tutorial,2,Large bias against blue in phase 2,0,N,,0,N,-,2
267,635770c6,DMT-with-tutorial,1,Weird pattern,0,N,,0,N,-,1
268,8b81c0d2,DMT-with-tutorial,1,Few NRs in phase 1,0,N,,0,N,-,1
269,db19969f,DMT-with-tutorial,,,0,N,,0,N,-,0
270,797902f1,DMT-with-tutorial,,,2,Y,large bias towards red in phase 2,2,Y,consecutive red in phase 2,4
271,bb43a5b5,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
272,557a7dc9,DMT-with-tutorial,2,Large bias towards red in phase 2,0,N,,0,N,-,2
273,3f01fbcd,DMT-with-tutorial,,,0,N,,0,N,-,0
274,7.74E+53,DMT-with-tutorial,,,0,N,,0,N,-,0
275,aeb7c122,DMT-with-tutorial,,,0,N,,0,N,-,0
276,b6a5a6e7,DMT-with-tutorial,,,0,N,,0,N,-,0
277,46779a19,DMT-with-tutorial,,,0,N,,0,N,-,0
278,d113648b,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
279,b322f0bd,DMT-with-tutorial,,,1,N,slight bias towards blue in phase 2,1,N,bias for red in phase 2,2
280,ea6cec0b,DMT-with-tutorial,,Weird pattern,0,N,,0,N,-,0
281,b1083ac8,DMT-with-tutorial,2,Large bias towards blue in phase 2,0,N,,0,N,-,2
282,d862dc74,DMT-with-tutorial,,,0,N,,0,N,-,0
283,fbbbdfec,DMT-with-tutorial,1,Lots of NR in Phase 1 and 2,0,N,,0,N,-,1
284,96af39eb,DMT-with-tutorial,2,Large bias against green in phase 2,0,N,,0,N,-,2
285,072bc315,DMT-with-tutorial,,,0,N,,0,N,-,0
286,c943d01c,DMT-with-tutorial,,,0,N,,0,N,-,0
287,6f8f30c1,DMT-with-tutorial,,,1,N,large bias towards blue in phase 1 & 2,1,N,-,2
288,4edb459e,DMT-with-tutorial,,,2,Y,lots of NRs,2,Y,high amt. of NRs,4
289,7b3790a1,DMT-with-tutorial,2,Large bias towards blue in phase 1 and 2,0,N,,0,N,-,2
290,47c78544,DMT-with-tutorial,2,Lots of NR in Phase 1 and 2,0,N,,0,N,-,2
291,af6b758b,DMT-with-tutorial,1,Bias again red in phase 1,0,N,,0,N,-,1
292,fdbdaac5,DMT-with-tutorial,,,0,N,,1,N,low RTs,1
293,87d1aeb6,DMT-with-tutorial,,,0,N,,0,N,-,0
294,551ea227,DMT-with-tutorial,,,0,N,,0,N,-,0
295,a2671715,DMT-with-tutorial,1,Bias against red in phase 2,0,N,,0,N,-,1
296,01c1c814,DMT-with-tutorial,,,0,N,,0,N,-,0
297,4460ff3a,DMT-with-tutorial,,,0,N,,0,N,-,0
298,6b4bbc0c,DMT-with-tutorial,1,Bias towards blue in phase 1,0,N,,0,N,-,1
299,e5a8e31b,DMT-with-tutorial,1,Lots of NR in Phase 1 and 2,0,N,,0,N,-,1
300,e65cb6ca,DMT-with-tutorial,,,0,N,,1,N,low RTs,1
301,c8a3c2c0,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
302,79cfe11c,DMT-with-tutorial,1,Low RTs,2,Y,a lot of NRs,1,N,high amt. of NRs,4
303,7c99b937,DMT-with-tutorial,,,0,N,,0,N,-,0
304,f6486577,DMT-with-tutorial,1,Lots of NR in Phase 1,0,N,,0,N,-,1
305,20c183ef,DMT-with-tutorial,,,0,N,,0,N,-,0
306,a10ed634,DMT-with-tutorial,,,0,N,,0,N,-,0
307,59dc8228,DMT-with-tutorial,,,0,N,,0,N,-,0
308,a22b57fb,DMT-with-tutorial,2,Large bias against blue in phase 2,0,N,,0,N,-,2
309,acc47eb2,DMT-with-tutorial,2,Large bias towards green in phase 2,0,N,,0,N,-,2
310,cda8dc6b,DMT-with-tutorial,1,Large bias against blue in phase 2,0,N,,0,N,-,1
311,5d01bd6e,DMT-with-tutorial,,,0,N,,0,N,-,0
312,6221812d,DMT-with-tutorial,,,0,N,,1,N,low RTs,1
313,194e66ea,DMT-with-tutorial,,,0,N,,0,N,-,0
314,ae64e81c,DMT-antiyoked-with-tutorial,1,Low RTs,0,N,,0,N,-,1
315,27d399df,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
316,313fe5c8,DMT-antiyoked-with-tutorial,1,Lots of NR in Phase 1,1,N,slight bias for blue in phase 2,1,N,bias for blue in phase 2,3
317,9a435f79,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
318,bf8b9908,DMT-antiyoked-with-tutorial,,,2,Y,large bias for blue in phase 2,2,Y,bias for blue in phase 2,4
319,7d31ad67,DMT-antiyoked-with-tutorial,2,Large bias towards blue in phase 1,0,N,,0,N,-,2
320,d7aec722,DMT-antiyoked-with-tutorial,2,Large bias towards blue in phase 1 and 2,2,Y,impossible RTs,2,Y,low RTs,6
321,bcbfc93a,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
322,b4ea75e5,DMT-with-tutorial,1,Low RTs,0,N,,0,N,-,1
323,8f3a4c9e,DMT-antiyoked-with-tutorial,1,Lots of NR in Phase 1,0,N,,0,N,-,1
324,5d594c57,DMT-with-tutorial,2,Low RTs + bias towards red in phase 1,0,N,,0,N,-,2
325,afa9cc32,DMT-with-tutorial,,,0,N,,0,N,-,0
326,9e6c6adf,DMT-with-tutorial,,,0,N,,0,N,-,0
327,2b4fb653,DMT-with-tutorial,,,0,N,,0,N,-,0
328,5f153c62,DMT-with-tutorial,,,0,N,,0,N,-,0
329,749c99c0,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
330,0af3cf3f,DMT-antiyoked-with-tutorial,2,Large bias towards red in phase 1,0,N,,1,N,bias for blue in phase 2,3
331,9908c635,DMT-with-tutorial,,,0,N,,0,N,-,0
332,3758c346,DMT-antiyoked-with-tutorial,2,Large bias against green in phase 2,0,N,,0,N,-,2
333,dffa9bff,DMT-with-tutorial,,,0,N,,0,N,-,0
334,0eb41dd4,DMT-with-tutorial,,,0,N,,0,N,-,0
335,66606ada,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
336,d4c6ba9b,DMT-with-tutorial,,,0,N,,0,N,-,0
337,02ba348a,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
338,3cf15861,DMT-antiyoked-with-tutorial,1,Bias against green in Phase 2,2,Y,large bias for green in phase 2,2,Y,bias for green in phase 2,5
339,bf73d17d,DMT-antiyoked-with-tutorial,,,1,N,slight bias for red,2,Y,bias for red,3
340,32fb59cf,DMT-antiyoked-with-tutorial,2,Bias against blue in phase 2,0,N,,0,N,-,2
341,65c44c85,DMT-antiyoked-with-tutorial,2,Large bias towards red in phase 1 and 2,0,N,,0,N,-,2
342,9e0dc473,DMT-antiyoked-with-tutorial,1,Lots of NR in Phase 1,0,N,,0,N,-,1
343,4be22b9c,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
344,7.53E+08,DMT-with-tutorial,,,0,N,,0,N,-,0
345,91ea03b4,DMT-with-tutorial,,,0,N,,0,N,-,0
346,6cbb3a3e,DMT-with-tutorial,,,0,N,,0,N,-,0
347,22aece87,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
348,e0275d6e,DMT-antiyoked-with-tutorial,2,Large bias against blue in phase 2,0,N,,0,N,-,2
349,1f166736,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
350,fbde5443,DMT-with-tutorial,,,0,N,,0,N,-,0
351,9a80fe33,DMT-with-tutorial,,,0,N,,1,Y,consecutive green in phase 2,1
352,76dcc6f8,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
353,81d1283d,DMT-with-tutorial,,,0,N,,1,Y,consecutive blue in phase 2,1
354,cc3793df,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
355,d09c01c7,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
356,50a753b0,DMT-with-tutorial,,,0,N,,0,N,-,0
357,6.78E+11,DMT-antiyoked-with-tutorial,,,2,Y,impossible RTs,2,Y,"cons. red, low RTs in phase 2",4
358,e1ced0a9,DMT-with-tutorial,,,0,N,,0,N,-,0
359,b57d522e,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
360,63bea772,DMT-with-tutorial,2,Large bias against green in phase 2,0,N,,0,N,-,2
361,1214f040,DMT-with-tutorial,,,2,Y,large bias for red,2,Y,bias for red,4
362,c6a66645,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
363,d9137278,DMT-with-tutorial,,,0,N,,0,N,-,0
364,cfd59d58,DMT-antiyoked-with-tutorial,2,Large bias towards red in phase 1 and 2,2,Y,large bias for red,2,Y,bias for red,6
365,77df7568,DMT-with-tutorial,1,Large bias against green in phase 2,0,N,,0,N,-,1
366,62f2ba7b,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
367,7fc2e4cf,DMT-antiyoked-with-tutorial,2,Large bias towards red in phase 1 and 2,0,N,,0,N,-,2
368,79db49ce,DMT-with-tutorial,,,2,Y,large bias for red,2,Y,bias for red,4
369,be58cf1a,DMT-with-tutorial,1,Bias again red in phase 1,1,N,impossible RTs,1,N,low RTs,3
370,d9f5ba4a,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
371,be5f6b0f,DMT-antiyoked-with-tutorial,1,Lots of NR in Phase 1,0,N,,0,N,-,1
372,e820f7bb,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
373,2008f75c,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
374,2f2b5ce2,DMT-with-tutorial,,Large bias against blue in phase 2,0,N,,0,N,-,0
375,92dd3717,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
376,8004b8a2,DMT-antiyoked-with-tutorial,,,1,N,a lot of NRs,1,N,high amt. of NRs,2
377,d637a09c,DMT-with-tutorial,,,0,N,,0,N,-,0
378,6bef4919,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
379,b30e0314,DMT-with-tutorial,2,Lots of NR in Phase 1,0,N,,0,N,-,2
380,579e81b0,DMT-antiyoked-with-tutorial,,,0,N,,0,N,-,0
381,be695570,DMT-with-tutorial,2,Large bias against red in phase 1,0,N,,0,N,-,2
382,b25b748a,DMT-with-tutorial,1,Bias against green in Phase 2,0,N,,0,N,-,1
383,7b61dec0,DMT-with-tutorial,,,0,N,,0,N,-,0
384,ca4fbdba,DMT-with-tutorial,2,Bias against blue in phase 2,0,N,,0,N,-,2
385,0a37d2dc,DMT-with-tutorial,,,0,N,,1,N,bias for green/blue in phase 2,1
386,8aba9e5b,DMT-with-tutorial,2,Large bias against green in phase 2,0,N,,0,N,-,2
387,5de34098,DMT-with-tutorial,,,0,N,,0,N,-,0
388,ac826cb6,DMT-with-tutorial,2,Large bias against red in phase 1,0,N,,0,N,-,2
389,1e86f923,DMT-with-tutorial,,,0,N,,0,N,-,0
390,e3086178,DMT-with-tutorial,,,0,N,,0,N,-,0
391,29947374,DMT-with-tutorial,,,0,N,,0,N,-,0
392,82fac0c7,DMT-with-tutorial,2,Large bias against blue in phase 2,0,N,,0,N,-,2
393,0c24fb1a,DMT-with-tutorial,2,Large bias against blue in phase 2,0,N,,0,N,-,2
394,3ebcceec,DMT-with-tutorial,,,0,N,,0,N,-,0
395,1894044b,DMT-with-tutorial,,,0,N,,0,N,-,0
396,861cd866,DMT-with-tutorial,,,0,N,,0,N,-,0
397,5cea4787,DMT-with-tutorial,2,Large bias against blue in phase 2,0,N,,1,N,bias for green/blue in phase 2,3
398,95cde898,DMT-with-tutorial,,,0,N,,0,N,-,0
399,b7a9e8c7,DMT-with-tutorial,,,0,N,,0,N,-,0
400,afa17234,,2,Large bias against red in phase 1,0,N,,0,N,afa17234,2
401,2fb28796,,1,Low RTs,0,N,,0,N,2fb28796,1